"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
29600-013,Tea Development Project,Sri Lanka,Sovereign,Loan,Approved,,10/11/1998,11/10/1998,0,"All tea-growing areas covering 13 districts in the southwest region of Sri Lanka: Kandy, Galle, Matara, Ratnapura, Badulla, Nuwara Eliya, Kegalle, Matale, Kalutara, Hambantota, Monaragala, Colombo, and Kurunegala.",Agriculture and Natural Resources,Agricultural production,B,,,South Asia Department,Ministry of Plantation Industries (MPI),ADB Disclosure,,,
54026-006,Ecological Valuation and Compensation Mechanism in the Kubuqi Desert,"China, People's Republic of",Sovereign,Technical Assistance,Closed,6656,31/12/2020,12/31/2020,"258,000.00","Nation-wide, Inner Mongolia","Agriculture, natural resources and rural development",Land-based natural resources management | Water-based natural resources management,,,,East Asia Department,Inner Mongolia Autonomous Region Finance Department (Former Inner Mongolia Autonomous Region),"Guo, Dongmei",,,
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,
48061-002,Sustainable Forest Management to Improve Livelihood of Local Communities,Mongolia,Sovereign,Technical Assistance,Closed,8874,13/01/2015,1/13/2015,0,Nation-wide,"Agriculture, natural resources and rural development",,,,,East Asia Department,Ministry of Environment and Tourism,"Robertson, Suzanne Kay",,,
