Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,Keywords Found in Project Name,Keywords Found in Project Description,Keywords Found in Implementing Agency,Keywords Found (Any Column)
P508202,Latin America and Caribbean,Federative Republic,,P508202 Latin America and Caribbean Federative Republic of BrazilAmazon and,"P508202 Latin America and Caribbean Federative Republic of BrazilAmazon and Cerrado Bioeconomy, Forest Restoration, and Climate- Smart Agriculture ProjectExpand access to finance for bioeconomy, forest restoration, and climate-smart agriculture, and enhance economic and climate resilience for targeted beneficiaries in the Amazon and Cerrado biomes. Banco do Brasil TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P50820 2 December 20, 2024 December 18, 2025 October 31, 2030 CONCEPT REVIEW I 400000000 0 14000000Banco do Brasil Moderate July 8, 2025",,,,,,,,,,,,[],['resilience'],[],['resilience']
P149286,Eastern and Southern Africa,Africa Republic,,P149286 Eastern and Southern Africa Republic of Uganda Uganda Multisectoral,"P149286 Eastern and Southern Africa Republic of Uganda Uganda Multisectoral Food Security and Nutrition ProjectThe Project Development Objective (PDO) is to increase production and consumption of micronutrient-rich foods and utilization of community-based nutrition services in smallholder households in project areas. Ministry of Agriculture, Animal Industry & Fisheries TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14928 6 January 7, 2015 January 7, 2015 December 7, 2015 December 29, 2023 BANK APPROVED G 27640000Republic of Uganda B July 8, 2024",Ministry of Agriculture,,,,,,,,,,,[],['animal'],[],['animal']
P099857,South Asia,Asia Republic,,P099857 South Asia Republic of India Jammu & Kashmir Participatory,"P099857 South Asia Republic of India Jammu & Kashmir Participatory Watershed Managementhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P09985 7 March 17, 2006 January 11, 2015 BEGIN APPRAISAL O 0 120000000 0 B December 19, 2024",,,,,,,,,,,,[],[],[],[]
P150941,Eastern and Southern Africa,Africa Republic,,P150941 Eastern and Southern Africa Republic of Burundi Eight Economic,"P150941 Eastern and Southern Africa Republic of Burundi Eight Economic Reform Support Grant 8The program aims to contribute to the Government of Burundi’s objective of protecting and consolidating the country’s transition from a post-conflict to a more stable economy through: (i) strengthening Public Finance Management and Budget Transparency; (ii) promoting private sector development and economic diversification; and (iii) strengthening safety nets systems Ministry of Finance and Economic Development Planninghttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15094 1 January 13, 2015 January 13, 2015 March 3, 2015 December 31, 2015 BANK APPROVED I 0 25000000 0 August 1, 2024",Ministry of Finance and Economic Development Planninghttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15094 1 January 13,,,,,,,,,,,[],[],[],[]
P131622,,Pacific Republic,,P131622 East Asia and Pacific Republic of the Philippines Gearing,"P131622 East Asia and Pacific Republic of the Philippines Gearing Rural Organizations for Wealth CreationThe project aims to reduce rural poverty by enhancing the competitiveness, sustainability, and inclusiveness of commodity value chains in targeted Agrarian Reform Community (ARC) clusters. Its Project Development Objective is to raise the farm productivity andhousehold income of targeted Agrarian Reform Beneficiaries (ARBs) and smallholder farmers by empowering the beneficiaries and their organizations; facilitating and scaling-up the development of livelihood and agribusiness opportunities; and improving access to critical infrastructure and key support services. Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P13162 2 June 29, 2012 January 16, 2015 CONCEPT REVIEW I 95000000 0 0 B December 19, 2024",,,,,,,,,,,,[],[],[],[]
P149827,Western and Central Africa,,,P149827 Western and Central Africa Burkina Faso BF REDD+ Readiness,"P149827 Western and Central Africa Burkina Faso BF REDD+ Readiness PreparationThe proposed revised Project Development Objective is to reinforce Burkina Faso’s enabling environment for the emergence of REDD+ and other carbon finance initiative, including a socially and environmentally sound national strategy and other key governance systems for REDD+ implementation.Programme d'Investissement Forestier - Coordination Nationalehttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14982 7 September 25, 2015 January 28, 2015 June 30, 2023 BANK APPROVED G 6870000Ministère de l'Environneme nt, de l'#conomie Verte et du Changement Climatique B June 4, 2024",,,,,,,,,,,,[],[],[],[]
P149714,Western and Central Africa,,,P149714 Western and Central Africa Western and Central Africa Niger,"P149714 Western and Central Africa Western and Central Africa Niger River Basin Management ProjectThe objective of the project is to strengthen the institutional framework for regional cooperation in water resources in the NigerRiver Basin. Niger Basin Authority (NBA) TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14971 4 October 24, 2014 January 28, 2015 May 3, 2016 December 31, 2019 BANK APPROVED G 7500000Niger Basin Authority B October 18, 2023",,,,,,,,,,,,[],[],[],[]
P146477,,,,P146477 Africa AfricaDEVELOPING AND PROMOTING SUSTAINABLE PRACTICES AND APPROACHES FOR,"P146477 Africa AfricaDEVELOPING AND PROMOTING SUSTAINABLE PRACTICES AND APPROACHES FOR ELIMINATING AND REDUCTION OF HARMFUL CHEMICALS AND WASTE IN AFRICAThe TA aims to analyse across the Africa region environmental health, economic and social risks associated with chemical waste management, particularly due to use of mercury in Artisanal Gold mining; and use and disposal of PCBs and chemicals in unregulated waste dump sites in large cities; and develop a regional collaborative program to address the environmental health risks.The project will support analytical studies and regional strategies to address the risks associated with chemical waste management. This will include stock-taking exercise of regulatory framework and institutional mechanisms that are currently used to identify, regulate and monitor environmental health risks associated with harmful chemicals and substances, such as mercury and PCBs; including analyses effectiveness of current system and identify entry points for immediate and long term interventions to address these risks. The TA will also involve assessing economics of available and innovative options for minimizing and controlling the use of hazardous chemicals and support awareness raising program on Environmental health and socio-economic consequence of unregulated hazardous chemicals and waste; Build Partnership within the Africa region for elimination and reduction of harmful chemicals and waste; and develop a regional program using various sources of funding such as IDA funding, GEF, other donors funding and commitmentshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14647 7 January 30, 2015 January 30, 2015 BANK APPROVED O 2000000 C June 4, 2024",,,,,,,,,,,,[],"['health', 'waste']",[],"['health', 'waste']"
P148552,Latin America and Caribbean,Caribbean Republic,,P148552 Latin America and Caribbean Republic of ColombiaColombia: Collective Reparation,"P148552 Latin America and Caribbean Republic of ColombiaColombia: Collective Reparation for Victims through Social Reconstruction ProjectThe objective of this project is to strengthen and deploy a model for the Collective Reparation Program for victims at the national and local level based upon documentation and systematization of the implementation of eligible Collective Reparation Planshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14855 2 February 4, 2015 February 4, 2015 February 5, 2015 August 30, 2019 BANK APPROVED G 4700000 B August 30, 2024",,,,,,,,,,,,[],[],[],[]
P145621,Latin America and Caribbean,Caribbean Republic,,P145621 Latin America and Caribbean Republic of Panama Sustainable Production,"P145621 Latin America and Caribbean Republic of Panama Sustainable Production Systems and Conservation of BiodiversityThe proposed global environmental objective is to conserve globally significant biodiversity through improved management effectiveness of the project protected areas and biodiversity mainstreaming in the buffer zones. Ministerio de Ambiente (MIAMBIENTE) Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14562 1 August 26, 2013 February 9, 2015 February 4, 2016 December 30, 2019 BANK APPROVED O 9589000Republic of Panama B May 10, 2022",,,,,,,,,,,,[],[],[],[]
P153732,Western and Central Africa,Federal Republic,,P153732 Western and Central Africa Federal Republic of Nigeria Nigeria,"P153732 Western and Central Africa Federal Republic of Nigeria Nigeria Forest Carbon Partnership Facility (FCPF) REDD READINESSProject Development Objective for the Readiness Preparedness Support is to support Nigeria design a socially and environmentally sound strategy to reduce emissions from deforestation and forest degradation.https: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15373 2 February 10, 2015 February 10, 2015 June 30, 2022 BANK APPROVED G 8703607 B October 16, 2023",,,,,,,,,,,,[],['deforestation'],[],['deforestation']
P120414,Latin America and Caribbean,Argentine Republic,,P120414 Latin America and Caribbean Argentine Republic Argentina FCPF REDD,"P120414 Latin America and Caribbean Argentine Republic Argentina FCPF REDD ReadinessThe Project Development Objective is to support Argentina’s REDD+ readiness efforts, in particular those activities focusing on management arrangements, REDD+ Strategy development, and Strategic Environmental and Social Assessment. The key results expected from the proposed REDD+ readiness grant are: i. REDD+ Management arrangements have been strengthened through the establishment and functioning of Executive and Advisory Committees. ii. REDD+ strategic options are consulted and designed iii. A participatory SESA (Strategic Environmental and Social Assessment) and an ESMF (Environmental and Social management Framework) are prepared with feedback from key stakeholders.https: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P12041 4 March 2, 2015 February 10, 2015 December 31, 2021 BANK APPROVED G 3800000 July 25, 2022",,,,,,,,,,,,[],[],[],[]
P144330,,Democratic Republic,,P144330 East Asia and PacificLao People's Democratic Republic Second Laos,"P144330 East Asia and PacificLao People's Democratic Republic Second Laos Environment and Social Projecthttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14433 0 August 5, 2013 February 19, 2015 CONCEPT REVIEW I 0 15000000 8500000 B December 19, 2024",,,,,,,,,,,,[],[],[],[]
P148809,Latin America and Caribbean,Caribbean Republic,,P148809 Latin America and Caribbean Republic of Nicaragua NI Caribbean,"P148809 Latin America and Caribbean Republic of Nicaragua NI Caribbean Coast Food Security ProjectThe proposed project development objective is to enhance food and nutritional security in selected communities of the Caribbean Coast of Nicaragua. Ministry of Family Economy MEFCCA Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14880 9 October 19, 2014 February 20, 2015 February 23, 2015 December 30, 2019 BANK APPROVED O 33900000Ministry of Finance and Public Credit B May 10, 2022",Ministry of Family Economy MEFCCA Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14880 9 October 19,,,,,,,,,,,[],[],[],[]
P148733,,Socialist Republic,,P148733 East Asia and Pacific Socialist Republic of Viet NamAdditional,"P148733 East Asia and Pacific Socialist Republic of Viet NamAdditional Financing to Second Northern Mountains Poverty Reduction ProjectThe AF focuses on institutionalizing and mainstreaming the socio-economic development planning approach in the broader planning and budget allocation processes in the project area. The PDO will, therefore, be revised to capture this important element of the AF. Project Development Objective for the AF is revised to read: The Project Development Objective (PDO) is to enhance the living standards of the Project Beneficiaries by improving: (i) their access to productive infrastructure; (ii) the productive and institutional capacity of local governments and communities; (iii) commune integrated investment planning and (iv) market linkages and business innovations. TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14873 3 November 26, 2014 February 27, 2015 June 30, 2018 BANK APPROVED I 0 100000000 0 B June 26, 2024",,,,,,,,,,,,[],['market'],[],['market']
P148183,Western and Central Africa,Africa Republic,,P148183 Western and Central Africa Republic of GhanaGhana FIP -,"P148183 Western and Central Africa Republic of GhanaGhana FIP - Enhancing Natural Forest and Agroforest Landscapes ProjectTo improve forest and tree management practices by cocoa farmers, CREMA communities and forest reserve managers to reduce forest loss and degradation and demonstrate rehabilitation of mined-out sites in selected landscapes in Ghana's High Forest Zone (HFZ). Ministry of Lands and Natural Resources Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14818 3 September 22, 2014 February 27, 2015 May 22, 2015 June 14, 2024 BANK APPROVED G 29500000Republic of Ghana B February 28, 2024",Ministry of Lands and Natural Resources Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14818 3 September 22,,,,,,,,,,,[],[],[],[]
P132123,Eastern and Southern Africa,,,P132123 Eastern and Southern Africa Eastern and Southern AfricaAFCC2/RI-South West,"P132123 Eastern and Southern Africa Eastern and Southern AfricaAFCC2/RI-South West Indian Ocean Fisheries Governance and Shared Growth Project 1The Project Development Objective is to improve the management effectiveness of selected priority fisheries at regional, national and community level.Ministry of Livestock and Fisheries Development, Mainland, Ministry of Livestock and Fisheries, Zanzibar,Ministry of Fisheries,Ministry of Sea, Inland Waters and Fisheries (Mozambique),General Directorate of Fisheries Resources (Comoros),Deep Sea Fishing Authority (Tanzania),DGRH Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P13212 3 December 11, 2012 February 27, 2015 June 22, 2015 September 30, 2022 BANK APPROVED I 0 75500000 15500000Ministry of Planning and Development, Government of Mozambique, Government of Comoros, MINISTRY OF FINANCE, Indian Ocean Commission, Vice Presidency of Finance,Indian Ocean Commission B May 1, 2024",Ministry of Livestock and Fisheries Development,,,,,,,,,,,[],['livestock'],['livestock'],['livestock']
P132029,Eastern and Southern Africa,,,P132029 Eastern and Southern Africa Eastern and Southern AfricaAFCC2/RI-South West,"P132029 Eastern and Southern Africa Eastern and Southern AfricaAFCC2/RI-South West Indian Ocean Fisheries Governance and Shared Growth Project 1The Global Environment Objective is to improve the management effectiveness of selected priority fisheries at regional, national and community level.https: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P13202 9 February 27, 2015 February 27, 2015 June 22, 2015 September 30, 2022 BANK APPROVED O 15500000 B May 1, 2024",,,,,,,,,,,,[],[],[],[]
P143492,Latin America and Caribbean,Federative Republic,,P143492 Latin America and Caribbean Federative Republic of Brazil BR,"P143492 Latin America and Caribbean Federative Republic of Brazil BR DGM for Indigenous People and Traditional Communities(i) to strengthen the engagement of Cerrado Biome's indigenous peoples and traditional communities in FIP , REDD+ and similar climate change oriented programs at the local, national and global level, and (ii) to contribute toward improving livelihoods, land use and sustainable forest management in their territories. Centro de Agricultura Alternativa do Norte de Minas TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14349 2 June 4, 2014 March 3, 2015 June 29, 2015 January 31, 2022 BANK APPROVED G 6500000Centro de Agricultura Alternativa do Norte de Minas - CAA/NM B September 28, 2022",,,,,,,,,,,,[],[],[],[]
P131408,Latin America and Caribbean,,,P131408 Latin America and Caribbean Belize BZ Marine Conservation and,"P131408 Latin America and Caribbean Belize BZ Marine Conservation and Climate AdaptationThe objective of the proposed Project is to implement priority ecosystem-based marine conservation and climate adaptation measures to strengthen the climate resilience of the Belize Barrier Reef System.Protected Areas Conservation Trust (PACT),Ministry of Agriculture, Fisheries, Forestry, the Environment and Sustainable Development Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P13140 8 February 10, 2015 March 3, 2015 July 15, 2015 September 30, 2020 BANK APPROVED O 5530000 Belize B March 15, 2022",Ministry of Agriculture,,,,,,,,,,,[],['resilience'],[],['resilience']
P128748,,,,P128748 Other World DGM Program and Global Learning and Knowledge,"P128748 Other World DGM Program and Global Learning and Knowledge Exchange ProjectThe objective of the Global Learning and Knowledge Exchange Project is to organize and facilitate knowledge exchange, learning and capacity building for IPLCsat regional and global levels, and to strengthen the networks and alliances of IPLC organizations within and across regions with a view to enhancing their representation and voice in regional and global policy fora. Conservation International Foundation TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P12874 8 June 6, 2012 March 3, 2015 June 15, 2015 December 31, 2020 BANK APPROVED G 4724770Conservation International F July 11, 2024",,,,,,,,,,,,[],[],[],[]
P143546,Eastern and Southern Africa,,,P143546 Eastern and Southern Africa Southern Africa Zambezi River Basin,"P143546 Eastern and Southern Africa Southern Africa Zambezi River Basin Management ProjectTo strengthen cooperative management and development within the Zambezi River Basin to facilitate sustainable, climate resilientgrowth. Zambezi Watercourse Commission (ZAMCOM)https: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14354 6 March 6, 2015 March 6, 2015 May 8, 2015 June 28, 2019 BANK APPROVED G 4000000Zambezi Watercourse Commission (ZAMCOM) B September 6, 2024",,,,,,,,,,,,[],[],[],[]
