Intervention \ Outcome,Sustainable Economic Growth,Resilience,Inclusivity & Women's Empowerment,Environmental Sustainability,Food Security & Nutrition,Inducing Policy Change
"Crop Management, Technology, R&D",8,6,5,6,3,2
Livestock Management & Technologies,59,38,30,27,13,13
Forestry Management & Technologies,6,4,5,7,1,1
Aquaculture Management & Technologies,6,3,5,3,2,0
Ecosystem services,23,12,15,21,4,5
Advisory and extension,52,41,31,22,12,15
Markets & finance,51,30,33,22,11,11
Food processing & storage,31,17,17,12,9,4
Behavior communication change & social programs,12,9,6,3,4,4
Policy & Regulatory,51,32,29,26,9,16
Public health,30,32,17,10,10,15
Rural/public infrastructure,38,34,23,16,12,7
