project_id,"Crop Management, Technology, R&D",Livestock Management & Technologies,Forestry Management & Technologies,Aquaculture Management & Technologies,Ecosystem services,Advisory and extension,Markets & finance,Food processing & storage,Behavior communication change & social programs,Policy & Regulatory,Public health,Rural/public infrastructure
P126773,0,0,0,0,0,0,0,1,0,1,0,0
P147674,0,1,0,0,1,0,1,1,0,0,0,0
P149553,0,1,0,0,0,0,1,0,0,1,0,0
P151058,0,0,0,0,0,1,1,1,0,1,0,1
P153613,0,1,0,0,0,0,1,0,0,1,0,0
P154784,1,1,0,1,0,1,1,1,1,1,1,1
P154908,0,1,0,0,0,1,1,0,1,0,1,0
P155412,0,1,0,0,0,0,1,0,1,1,0,0
P155541,0,1,0,0,0,0,0,0,0,0,0,0
P157127,0,0,1,0,1,0,1,0,0,0,0,1
P157282,0,0,0,0,0,1,0,0,0,0,0,1
P157997,0,1,0,0,0,1,1,1,0,1,1,1
P158522,1,1,0,1,0,1,1,1,1,1,1,1
P158710,0,1,0,0,1,1,1,1,1,1,1,1
P159037,0,1,0,0,0,1,0,0,0,0,0,1
P159040,0,0,0,0,0,1,0,0,0,0,1,0
P159382,0,1,0,0,0,1,1,0,0,1,1,1
P159476,0,1,0,0,0,1,1,0,0,1,1,0
P159637,0,1,0,1,0,0,1,1,0,1,0,0
P1603,0,1,0,0,0,0,1,0,0,1,0,0
P160613,1,0,0,0,1,0,0,0,0,1,0,0
P160641,0,1,0,0,0,0,1,0,0,1,1,0
P160865,0,1,0,0,1,1,1,1,0,1,1,1
P161163,0,0,0,0,0,1,0,0,0,0,1,0
P161246,0,1,0,0,0,1,1,1,1,0,1,0
P161304,0,1,1,0,1,0,0,0,0,1,0,0
P161392,0,1,0,0,1,1,1,1,0,0,0,1
P162178,0,0,0,0,0,0,0,0,1,1,1,0
P162659,0,1,0,0,0,1,0,1,0,0,0,1
P163081,0,1,0,0,1,1,1,0,1,0,0,1
P163444,0,1,0,0,0,1,0,0,0,1,0,0
P163559,0,0,0,0,0,0,0,0,0,0,0,0
P164424,0,0,0,0,0,0,1,1,0,1,1,0
P164509,0,0,0,0,0,1,1,0,0,1,1,0
P164584,0,1,0,0,0,1,1,1,0,1,0,0
P164602,0,1,0,0,0,1,0,0,0,1,0,0
P164696,0,0,0,0,0,0,0,0,0,0,1,0
P164967,1,1,0,0,0,0,0,1,0,1,1,1
P164967_PID,0,0,0,0,0,0,0,0,0,0,0,0
P165129,1,1,1,0,1,1,1,0,0,1,0,1
