project_id,Sustainable Economic Growth,Resilience,Inclusivity & Women's Empowerment,Environmental Sustainability,Food Security & Nutrition,Inducing Policy Change
P126773,1,0,1,1,0,1
P147674,1,1,1,1,0,0
P149553,1,0,1,0,0,0
P151058,1,0,1,0,0,0
P153613,1,0,0,1,0,0
P154784,1,1,1,0,1,0
P154908,1,0,0,0,0,0
P155412,1,0,1,0,0,0
P155541,1,0,0,0,0,0
P157127,0,0,1,1,0,0
P157282,0,1,1,1,1,0
P157997,1,1,1,0,0,0
P158522,1,1,0,1,0,0
P158710,1,0,0,0,0,1
P159037,1,0,0,0,0,0
P159040,0,1,0,0,0,1
P159382,1,1,0,0,0,1
P159476,1,1,0,0,0,0
P159637,1,0,1,0,0,0
P1603,1,1,1,0,0,0
P160613,1,0,1,1,0,0
P160641,1,1,0,0,0,1
P160865,1,0,1,0,0,0
P161163,0,1,0,0,0,1
P161246,1,1,0,0,0,0
P161304,1,0,0,1,0,0
P161392,1,1,0,0,1,0
P162178,0,0,0,0,1,1
P162659,1,1,0,0,0,0
P163081,1,1,1,0,1,0
P163444,0,1,0,1,0,1
P163559,0,0,0,0,0,0
P164424,1,0,0,0,1,0
P164509,1,1,1,0,0,1
P164584,1,0,1,0,0,1
P164602,0,0,1,1,0,0
P164696,0,0,0,0,0,1
P164967,1,1,0,0,0,0
P164967_PID,1,0,0,0,0,0
P165129,1,1,1,1,0,1
P165397,1,1,0,1,0,1
P165855,0,1,1,0,0,0
P165873,1,0,1,1,0,0
P165945,1,1,1,0,0,0
P166298,0,1,0,0,0,0
P166328,1,1,0,0,0,0
P166853,1,0,0,1,0,0
P167678,1,0,0,1,0,0
P167767,1,0,1,0,0,0
P167826,1,1,1,0,1,0
P167946,1,0,0,0,0,0
P169758,1,0,0,1,0,0
P170035,1,1,1,0,1,0
P170213,1,0,1,1,0,0
P170283,1,1,0,0,0,0
P170365,1,1,0,1,0,0
P170788,0,0,0,0,0,0
P170934,0,1,0,0,0,0
P171114,1,1,0,0,0,0
P171266,1,1,1,0,0,1
P171284,1,0,0,1,1,0
P171524,1,0,1,1,0,0
P171745,0,0,1,1,0,0
P172079,1,0,0,1,0,1
P173061,1,0,0,0,0,0
P173197,1,1,0,1,0,1
P173296,1,0,1,1,0,0
P173529,0,1,0,0,0,0
P173698,0,0,0,0,0,0
P173702,0,1,0,0,0,0
P173746,0,1,0,0,0,1
P174097,0,0,1,1,0,0
P174170,1,0,1,1,0,1
P174318,1,0,1,0,0,0
P174546,0,1,0,0,0,0
P174903,0,1,0,0,1,0
P175011,1,1,0,1,0,0
P176129,1,1,0,0,1,0
P176418,1,1,0,0,0,0
P176547,1,0,1,0,0,0
P177041,1,0,0,1,0,0
P177043,1,0,1,1,0,0
P177627,1,0,1,1,1,0
P177671,1,1,0,0,0,1
P177825,1,0,0,1,0,0
P178120,1,1,1,0,0,0
P178362,1,1,0,1,0,0
P178598,1,1,1,0,0,1
P178635,1,0,1,1,0,0
P178715,1,1,0,1,0,0
P178791,0,0,0,0,0,0
P178907,1,0,0,1,0,0
P178988,1,1,1,0,1,1
P179060,0,1,0,0,1,0
P179078,0,1,1,0,0,1
P179276,1,1,1,1,1,0
P179851,1,0,0,1,1,0
P179935,1,1,1,1,0,0
P180033,0,1,0,1,0,0
P180535,1,1,1,0,0,0
P181021,1,1,0,1,0,1
P181157,1,1,1,0,1,0
P181428,0,1,0,1,0,0
P181459,0,1,0,0,0,0
P181565,1,1,0,0,1,0
P504033,1,0,0,0,0,0
P505267,0,0,0,1,0,0
P505271,1,1,1,0,1,0
P507504,1,0,0,0,0,0
P508693,0,1,0,0,0,0
P509060,0,1,0,0,0,0
P509237,1,0,1,0,0,0
P509357,1,1,1,1,0,0
P509938,0,1,0,0,0,0
P512497,0,1,1,0,0,0
TBD,0,1,1,0,0,0
