,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
project_id,ifi,country,year,doc_type,item_type,label,primary_category,specific_outcome,intended_or_measured,species_tags,evidence_text,citations,needs_review_flag,duplicate_flag,source_pages,source_sections,,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,objective,Increase climate resilience and competitiveness of the agriculture sector,,,,,The Project Development Objective is to increase climate resilience and competitiveness of the agriculture sector.,"World Bank, 2022, p. 2",FALSE,FALSE,p.2,Datasheet,,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,intervention,"Develop farm and client registers, upgraded payment system and Farm Accountancy Data Network (FADN)",Policy & Regulatory,,,multiple,"The subcomponent will support establishing farm and client registers, upgrading the payment system, strengthening the Country Agriculture Rural Payment Office, and establishing a Farm Accountancy Data Network (FADN).","World Bank, 2022, p. 23",FALSE,FALSE,p.23,Component 1 (Enhancing agriculture information systems),,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,intervention,"Support climate-resilient agriculture through improved seeds, climate risk awareness, extension services, and diversification strategies",Advisory and Extension,,,multiple,"The project will raise awareness on climate change impacts, improve extension services, promote adoption of Good Agricultural Practices and integrated pest management, facilitate climate risk assessment, and support diversification strategies such as agroforestry and intercropping using improved seeds.","World Bank, 2022, p. 24",FALSE,FALSE,p.24,Component 1 (Supporting climate-resilient agriculture),,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,intervention,"Provide matching grants and capacity building to aggregators for climate-smart value-chain investments across fruits, vegetables, dairy and livestock",Markets & Finance,,,multiple,"The project will strengthen value chains by providing matching grants to aggregators for investments in renewable energy, cold chain, climate-smart post-harvest storage and processing across fruits, vegetables, dairy and livestock; technical assistance and capacity building will accompany these investments.","World Bank, 2022, p. 25",FALSE,FALSE,p.25,Component 2 (Strengthening value chains and productive partnerships),,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,intervention,Rehabilitate irrigation and drainage systems and develop new energy-efficient schemes with training for water user associations,Rural/Public Infrastructure,,,unspecified,"Subcomponent 2 will rehabilitate irrigation networks, promote energy-efficient irrigation and renewable energy, develop new irrigation schemes and provide capacity building for water user associations, including operations and maintenance agreements and an Irrigation and Drainage Information Management System.","World Bank, 2022, p. 27",FALSE,FALSE,p.27,Component 2 (Improving irrigation and drainage systems),,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,intervention,Upgrade food quality and safety institutions and laboratories to meet EU standards,Public Health,,,unspecified,"The project will invest in food quality and safety by upgrading laboratories and risk-based controls, strengthening veterinary, food safety and plant health institutions, conducting risk assessments and ensuring compliance with EU food safety standards.","World Bank, 2022, p. 28",FALSE,FALSE,p.28,Component 3 (Food quality and safety standards),,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,intervention,"Develop integrated IT systems for veterinary, food safety and plant health information and traceability",Policy & Regulatory,,,unspecified,"An IT system will be developed to integrate veterinary, food safety and plant health information for real-time traceability and ensure compatibility with EU systems, strengthening official controls and documentation.","World Bank, 2022, p. 29",FALSE,FALSE,p.29,Component 3 (IT systems for food safety),,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,outcome,Farmers adopting improved agricultural technology,Sustainable Economic Growth,Adoption,Intended,multiple,"The results framework includes an indicator for the number of farmers adopting improved agricultural technology, disaggregated by gender, reflecting adoption of climate-smart production practices and technologies.","World Bank, 2022, p. 45",FALSE,FALSE,p.45,Results Framework,,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,outcome,Farmers with access to irrigation or drainage services supported by the project,Resilience,Resilience,Intended,unspecified,"The PDO indicator “Farmers with access to irrigation/drainage services supported by the project” measures the area and number of farmers served by rehabilitated or new irrigation schemes, aiming to enhance climate resilience.","World Bank, 2022, p. 45",FALSE,FALSE,p.45,Results Framework,,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,outcome,Aggregators reporting increased sales of agricultural produce,Sustainable Economic Growth,Market efficiency,Intended,multiple,"One of the PDO indicators tracks the percentage of aggregators reporting increases in sales of agricultural produce from farmers they support, reflecting improved market efficiency and commercialization.","World Bank, 2022, p. 45",FALSE,FALSE,p.45,Results Framework,,,,
