category,count
Advisory & Extension,43
Advisory and Extension,112
Aquaculture Management & Technologies,11
Behavior Change & Social Programs,29
Behavior Communication Change & Social Programs,25
Crop Management,25
Crop Management & Technology,30
Ecosystem Services,47
Environmental Sustainability,77
Food Processing & Storage,53
Food Security & Nutrition,21
Forestry Management & Technologies,13
Inclusivity & Women’s Empowerment,68
Inducing Policy Change,31
Livestock Management & Technologies,139
Markets & Finance,112
Policy & Regulatory,115
Public Health,129
R&D,12
Resilience,90
Rural/Public Infrastructure,73
Sustainable Economic Growth,225
Technology,15
Technology & R&D,16
