"Methedology:
1. Open IDB website
2. Click on 'Projects'
3. Scroll down and click on 'Download Project Information (.xlsx)'
4. Apply following filters: 
            - Sector: AGRICULTURE AND RURAL DEVELOPMENT 
            - Approval date: 01/01/2015-12/31/2025
5. Click three buttons > Export data ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Keywords Found in Unnamed: 1,Keywords Found in Unnamed: 2,Keywords Found in Unnamed: 4,Keywords Found in Unnamed: 8,Keywords Found in Unnamed: 16,Keywords Found in Unnamed: 20,Keywords Found in Unnamed: 22,Keywords Found (Any Column)
Project Number,Project Name,Project Description,Lending Type,Project Type,Approval Date,Signature Date,Sector,Sub-Sector,Project Country,Status,ESG Classification,Total Cost,Operation Number,Modality Code,Currency,Funding Source,Approval Amount,Disbursed Amount,Last Updated,Borrower,Repeat Investment,Executing Agency,Interest Rates (Loans),Amortization Date,Tenor (Loans) / Guarantee Length,[],[],[],[],[],[],[],[]
RG-T4752,Modern Agricultural Knowledge & Innovation Systems to boost Climate-Smart & Nature-Positive Agrifood Systems,"The objective of this Technical Cooperation is to contribute to the modernization of agricultural knowledge and innovation systems in Latin America and the Caribbean (LAC), to enhance their capacity to efficiently and inclusively support (particularly considering small farmers, women, and indigenous peoples) the scaling up of climate-smart and nature-positive productive practices.",Sovereign Guaranteed,Technical Cooperation,7/11/25,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Ecuador; El Salvador; Honduras; Panama; Paraguay; Regional; Uruguay,ACTIVE,,500000,ATN/OC-21727-RG,,USD,ORC-Ordinary Capital,500000,0,"Friday, July 11, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
HA-X1037,Creating Alliances in Cocoa for Improved Access and Organization in Haiti,"The objective of the project is to increase the incomes of 7,000 small scale cocoa farmers in Haiti and strengthen their capacity to supply cocoa in high value markets.",Non-Sovereign Guaranteed,Technical Cooperation,1/15/15,4/10/15,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Haiti,EXITED,,1111110,ATN/CF-14896-HA,,USD,COF-Common Account - COFAB,1111110,1110963.4,"Wednesday, July 17, 2019",Not Defined,Yes,CATHOLIC RELIEF SERVICES,,,,[],[],[],[],[],[],[],[]
CO-M1089,Competitiveness Enhancement and Business Consolidation of Small Farmers for Illi,"The project supports the implementation of improvement strategies and innovation for organizations of producers of alternative development (AD) through the implementation of commercially viable production initiatives capable of generating economic sustainability for families who depended or were likely to be linked in production and trafficking of illicit goods for their livelihood. The integrated model of support through farmer organizations, involves the use of the economic benefits of cooperation, economies of scale, and strengthening social capital and institutional communities, plus it enhances the development and strengthening of local and national economy, as the indirect and induced effects of the value chains that are inserted in the multiplier effects generate income, jobs, business opportunities and change in the productive regions.",Non-Sovereign Guaranteed,Technical Cooperation,1/26/15,4/13/15,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia,EXITED,B13,8172000,ATN/ME-13560-CO,,USD,MSE-Multilateral Investment Fund II (MIF) -,2000000,1861060.68,"Monday, February 04, 2019",Not Defined,Yes,OFICINA DE NACIONES UNIDAS CONTRA LA DROGA Y EL DELITO,,,,[],[],[],[],[],[],[],[]
PR-M1033,ECOMICRO - EcoMicro Project for Financiera El Comercio,Financiera El Comercio will offer green financial products to small farmers to implement climate change adaptacion mesures.,Non-Sovereign Guaranteed,Technical Cooperation,3/3/15,5/21/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Paraguay,EXITED,C,501121,ATN/ME-14908-PR,,USD,MSE-Multilateral Investment Fund II (MIF) -,280400,262286.4,"Friday, November 17, 2017",Not Defined,Yes,"EL COMERCIO FINANCIERA S.A.E.C.A.,PARAGUAY",,,,[],[],[],[],[],[],[],[]
PE-T1325,Support for Preparation of Agricultural Health Develop Progr. & Agrifood Saf II,"The objetive of the TC is to provide operational support for the development of the technical and institutional studies needed for the design and approval of the Project ""Agriculture Health and Food Safety, II"".",Sovereign Guaranteed,Technical Cooperation,3/10/15,3/10/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Peru,EXITED,C,675000,ATN/OC-14914-PE,,USD,ORC-Ordinary Capital,500000,440108.3,"Friday, November 30, 2018",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
HA-M1050,Scaling Up the Smallholder Alliance for Sorghum in Haiti (SMASH),"The project aims to improve the incomes of 18,000 small scale sorghum farmers by improving their capacity to supply high quality sorghum to the lead firm (Brasserie Nationale d'Haiti (BRANA) for the production of malted barley beverages. The project will also aim to improve climate resilience for the sorghum value chain.",Non-Sovereign Guaranteed,Technical Cooperation,4/29/15,10/21/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Haiti,EXITED,C,7815262,ATN/ME-15024-HA,,USD,MSE-Multilateral Investment Fund II (MIF) -,2020807,1764273.38,"Thursday, October 17, 2019",Not Defined,Yes,PAPYRUS S.A.,,,,['smallholder'],['value chain'],[],[],[],[],[],"['smallholder', 'value chain']"
PE-L1187,Increasing Cocoa Productivity through credit to small producers,"Increase the productivity of small scale cacao farmers through increased access to productive investment loans for fertilization, irrigation and productive equipment.",Non-Sovereign Guaranteed,Loan Operation,5/12/15,7/10/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Peru,EXITED,,1250000,SP/OC-15-01-PE,,USD,ORC-Ordinary Capital,1000000,1000000,"Thursday, June 02, 2022",COOPERATIVA AGRARIA CACAOTERA ACOPAGRO LTDA,Yes,COOPERATIVA AGRARIA CACAOTERA ACOPAGRO LTDA,6.25122,2022-03-07,81.1,['productivity'],['productivity'],[],[],[],[],[],['productivity']
PE-S1012,Increasing Cocoa Productivity through credit to small producers,"Increase the productivity of small scale cacao farmers through increased access to productive investment loans for fertilization, irrigation and productive equipment.",Non-Sovereign Guaranteed,Technical Cooperation,5/12/15,6/18/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Peru,EXITED,B13,418817,ATN/OC-14961-PE,,USD,ORC-Ordinary Capital,250000,250000,"Friday, April 13, 2018",COOPERATIVA AGRARIA CACAOTERA ACOPAGRO LTDA,Yes,COOPERATIVA AGRARIA CACAOTERA ACOPAGRO LTDA,,,,['productivity'],['productivity'],[],[],[],[],[],['productivity']
AR-T1135,Priorities of Agricultural Development in Norte Grande,"This program is built on the basis of experience gained by the Unit for Rural Change (UCAR), Ministry of Agriculture, Livestock and Fisheries (MAGyP) in integrating various management tools in a territorial context, which improves the conditions of regional competitiveness, market access and better living conditions and food security, in line with the priorities of the food Fund IDB. This CT proposes to carry out priority studies for the formulation of an investment program to support agricultural development in the NG of Argentina.",Sovereign Guaranteed,Technical Cooperation,6/22/15,6/22/15,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina,EXITED,C,200000,ATN/OC-15002-AR,,USD,ORC-Ordinary Capital,200000,190412.77,"Tuesday, December 20, 2016",Not Defined,Yes,TC-BID OFICINA EN ARGENTINA,,,,[],"['livestock', 'market access']",[],[],[],[],[],"['livestock', 'market access']"
