Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,"Total IBRD, IDA and GRANT Commitment $US",Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Last Update Date,Abstract
P509357,Western and Central Africa,Republic of Chad,,SAHEL RESILAND CHAD: Building Resilience through Sustainable Natural Resource Management,To improve adoption of climate resilient landscape management methods and access to livelihood restoration activities in targeted communities,"Ministry of Environment, Fisheries and Sustainable Development",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P509357,"February 11, 2025","December 11, 2025",,"October 30, 2032",CONCEPT REVIEW,G,,0.0,100000000.0,,9300137.0,"Ministry of Finance, Budget, Economy and Plan",,,Substantial,,,,"June 27, 2025","The project aims to strengthen the resilience of vulnerable rural populations in the face of climate change, including the fight against land degradation and desertification, and to support the integrated and inclusive management of natural resources and land, including increased availability of water resources to support livelihoods. The project will support the development of low-carbon, nature-positive, value chains from non-timber forest products (NTFP) for vulnerable populations, particularly women and young people in the Great Green Wall intervention zone. Value chains such as gum arabic, balanites, and forage crops, will be part of nature based solutions to improve resilience to climate variability, restore degraded lands and improve economic resilience of vulnerable populations. Investments will include planting native and drought-resistant trees and crops, forest conservation, assisted natural regeneration, agroforestry, land restoration, adequate management of surface water (stabilization of dunes, stone lines, hedges, water catchments), reforestation with local and non-invasive species. The project will invest in improving knowledge and management of water resources, essential for maintaining livelihood activities, and will include water retention weirs and underground water harvesting practices."
P505923,Western and Central Africa,Western and Central Africa,,Sustainable Congo Basin Forest Economies,"To improve forest management, strengthen forest value chains, and create jobs in targeted areas in Congo Basin Forest countries. ","Central Africa Economic and Monetary Union,Central Africa Forest Commission (COMIFAC)",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P505923,"July 12, 2024","December 9, 2025",,,CONCEPT REVIEW,I,,0.0,416329984.0,,0.0,"Ministry of Economy, Planning and Regional Development",,,High,,,,"August 21, 2025","This horizontal MPA - The Sustainable Congo Basin Forest Economies (SCBFE) Program is an ambitious commitment to create jobs and economic opportunities through sustainable management of Congo Basin Forests (CBF). It will operationalize the Global Challenge Program - Forests for development, climate and biodiversity by focusing on sustainably developing value-added products and services from the forest sector, increasing jobs and improving regional cooperation and national capacity for biodiversity conservation. The proposed program responds to the World Bank Group’s 3-pillar approach to job creation: (i) strengthening governance and policies; (ii) establishing the foundational infrastructure for forest jobs; and (iii) mobilizing private capital to deliver solutions at scale. It leverages globally tested approaches for sustainable management of forests, including strengthening value chains that deliver jobs and economic opportunities to reduce poverty, while promoting the rich biodiversity of the forests. At the regional level, the project will enhance climate benefits and help countries coordinate their climate and forest policies for greater development impact."
P512497,East Asia and Pacific,Republic of the Philippines,,Pandemic Fund - Resilient Philippines,"To improve the country's capacity to detect, report and respond to existing and emerging pathogens with epidemic potential among humans, animals, and wildlife","Bureau Of Animal Industry, Department of Agriculture,Department of Health",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P512497,"August 13, 2025","November 28, 2025",,"March 31, 2028",CONCEPT REVIEW,,,,,,18846200.0,Department of Finance,,,Moderate,,,,"August 10, 2025","The project consists of three components.The activities financed under Component 1: Human Health focus on enhancing early warning and disease surveillance systems by expanding the One Health Surveillance pilot to epidemic-prone areas, upgrading reporting systems, and training implementers for evidence-based decision-making. Additionally, it aims to improve laboratory systems by developing guidelines, enhancing testing proficiency, establishing a genomics consortium, and piloting rapid diagnostic tests in underserved communities. Furthermore, it strengthens human resources by supporting capacity building in regulatory systems and mapping the workforce for pandemic preparedness.Component 2: Animal Health addresses critical animal health dimensions of pandemic preparedness by upgrading the animal health information system, improving animal health surveillance, and strengthening animal disease laboratories. These activities support the animal health agenda by investing in the capacity building of local government units for risk assessment planning and executing mitigatory measures along high-risk value chains.Component 3 finances project management and monitoring and evaluation."
P505271,Western and Central Africa,Republic of Congo,,Poultry and Aquaculture Development Project,"To improve cost-effectiveness, market access and resilience of target poultry and aquaculture value chains in Congo.",Ministry of Agriculture Livestock and Fisheries,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P505271,"December 2, 2024","November 25, 2025",,"March 31, 2032",CONCEPT REVIEW,I,,0.0,150000000.0,,0.0,"Ministry of Planning, Statistics and Regional Integration",,,Substantial,,,,"August 2, 2025",The project will finance the following activities to realize its development objective:Component 1: Enhancing Access to High-Quality and Affordable Inputs Component 2: Facilitating Production and MarketingComponent 3: Strengthening the Agribusiness Ecosystem Component 4: Contingency Emergency ResponseComponent 5: Project Management
P508689,Western and Central Africa,Western and Central Africa,,Accelerating Innovation and Catalyzing Capacity for Resilience in Africa,To scale agrifood innovation and enhance scaling capacities of African organizations and stakeholders in Africa.,International Centre of Insect Physiology and Ecology,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P508689,"December 17, 2024","November 24, 2025",,,CONCEPT REVIEW,I,,0.0,100000000.0,,0.0,International Centre of Insect Physiology and Ecology,,,Moderate,,,,"August 26, 2025",The Project will have five main components:1. Enhancing data systems and decision-making tools 2. Strengthening regional scaling capacity 3. Scaling-up innovation uptake4. Boosting skills for innovation and jobs 5. Project management
P181526,Europe and Central Asia,Europe and Central Asia,,Blueing the Caspian Sea: Building Capacities for Pollution Monitoring and Biodiversity Planning,"The Project Development Objective is to strengthen pollution monitoring and biodiversity monitoring and planning in targeted sites within the Caspian Sea in Azerbaijan, Kazakhstan, and Turkmenistan",United Nations Office for Project Services (UNOPS),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P181526,"November 27, 2023","October 31, 2025",,"December 31, 2029",DECISION MEETING,O,,,,,8243120.0,"Republic of Kazakhstan,Turkmenistan,Republic of Azerbaijan",,,Substantial,,,,"November 1, 2023","About the GEF FinanceThe Global Environment Facility (GEF) is providing US$ 11,743,120 in grant financing to the World Bank and UNEP as GEF Implementing Agencies. The finance will benefit Azerbaijan, Kazakhstan and Turkmenistan. The WB will seek Board approval for a US$ 8,243,120 project for which United Nations Office for Project Services (UNOPS) will serve as the GEF Executing Agency. A GEF Project Preparation Grant (PPG) of US$183,489 will be awarded to UNOPS for the purposes of preparing the applicable ESF instruments, engagement of the three countries. The United Nations Environment Program (UNEP) will seek approval per their own procedures for GEF financing and will do internal execution of the grant with the Tehran Convention Interim Secretariat (TCIS).The WB has no fiduciary or supervision accountability for the UNEP-executed project. However, the WB is the implementing agency submitting the combined project to the GEF for CEO Endorsement. This co-implementation arrangement has been agreed between the World Bank and UNEP.The WB Project.The operation aims to assist countries in managing pollution and improve biodiversity conservation. This will be achieved by strengthening the capacity of the three participating countries, Azerbaijan, Kazakhstan, and Turkmenistan. The project complements ongoing efforts of countries to meet the obligation of the Tehran Convention and the associated protocols.Component 1. Pollution management strengthened (US$ 3,900,000). This component will finance technical assistance, workshops, and other capacity building measures to improve policy harmonization and regional cooperation on pollution management in the Caspian Sea. It will also seek to sharing knowledge among the countries exchanges between practitioners on best practices. The component will support activities needed for countries meet the obligations under the Moscow Protocol engages countries to implement measures to prevent, control, and minimize pollution from land-based sources affecting the Caspian Sea and its coastal areas. The capacity of national institutions related to pollution may also be supported by provision of equipment. The component may also finance the development of National Programs of Action (NPAs) and investment plans for pollution mitigation.Component 2. Protected areas management strengthened (US$ 3,900,000).This component will finance technical assistance, workshops, and other capacity building measures to improve policy harmonization and regional cooperation on biodiversity management in the Caspian Sea. It will also seek to sharing knowledge among the countries exchanges between practitioners on best practices. The component will support activities needed for countries meet the obligations under the Ashgabat Protocol that engages countries to protect, preserve, and restore the health and integrity of the biological diversity and the ecosystem of the Caspian Sea. The component will support the improvement of specific protected areas in three participating countries, including expansion of the protected areas and management within the territorial waters of the three countries including enhancement of existing, and development of new PA management plans, workshops, training, and implementation of management plans. The component will also finance national public awareness programs on biodiversity loss in the Caspian Sea.Component 3. Project Management (US$ 443,120). This component will support the technical implementation of the project activities, including FM and procurement, overall monitoring of project results, production of progress reports, and Environmental and Social Framework (ESF) compliance, with the establishment of a culturally appropriate grievance redress mechanism. The UNOPS Blueing the Caspian Sea Project Implementation Unit (PIU) will be housed in appropriate facilities, preferable in the region and will be composed of professional, administrative, and support staff. The UNOPS BCS PIU will be responsible for the overall coordination of the WB project and will, among others, (a) oversee the preparation of annual operating plans and (b) prepare progress and other reports, as required by the GEF and the World Bank."
P509938,Eastern and Southern Africa,Republic of Mozambique,,Integrated  Agricultural Climate Resilient Service Delivery and Livelihoods,To improve access to climate resilient basic services and livelihoods opportunities in the targeted areas,"Ministry of Agriculture, Environment and Fisheries",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P509938,"April 4, 2025","October 30, 2025",,"November 30, 2030",CONCEPT REVIEW,I,,0.0,50000000.0,,0.0,Ministry of Finance,,,Substantial,,,,"August 8, 2025","The proposed project is an Investment Project Financing (IPF) with an IDA grant of US$50 million to be implemented over 5-years in Cabo Delgado Province. The project responds to addressing numerous challenges that exist in the Northern Mozambique, particularly Cabo Delgado Province, which include: (i) high and increasing poverty rates, with Nampula and Cabo Delgado Province as the highest, 81 percent and 78 percent respectively, (ii) high food and nutrition insecurity, with stunting rates above 40 percent, (iii) inadequate delivery of basic public service, (iv) high and recurrent climate shocks, and (iv) social tension and conflict, with broken social contracts. The project objective aims to improve access to climate resilient basic services and livelihoods opportunities. The project will holistically strengthen the capacity of districts to effectively deliver service in a climate and demand driven and inclusive manner, while improving sustainable livelihoods, and economic activities. The project, intervening in a deteriorated social fabric, will adopt a comprehensive multifaceted social inclusion and cohesion approach through: (i) mainstreaming participatory approaches to identify communities’ needs and priorities and enhance their voice and agency to improve climate resilient infrastructure investments; (ii) adopting community-based approaches to bring communities together and reduce existing tensions over limited resources and assets; (iii) mobilizing and empowering the youth with improved skills and economic opportunities, and (iv) mobilizing farmers to improving agricultural livelihoods and productivity, with specific attention towards the vulnerable women and youth. This comprehensive approach will help address the key drivers of conflict and fragility in Cabo Delgado Province."
P507504,East Asia and Pacific,Republic of the Philippines,,Philippines Sustainable Agriculture Transformation Program,"To improve productivity, diversification, climate resilience and public resource use efficiency in the agrifood systems in the Philippines.",Department of Agriculture,,https://projects.worldbank.org/en/projects-operations/project-detail/P507504,"December 6, 2024","September 3, 2025",,"June 28, 2030",BEGIN APPRAISAL,G,,990000000.0,0.0,,10000000.0,Department of Finance,,,,,,,"July 15, 2025",
P505075,Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,,Regenerative Agriculture for Agro-Pastoral Livelihoods in Ethiopia,Improving livelihoods and climate resilience of Agro-pastoralists through regenerative agriculture practices in the Lowlands of Ethiopia.,Sasakawa Africa Association (SAA),,https://projects.worldbank.org/en/projects-operations/project-detail/P505075,"August 29, 2024","July 30, 2025",,"May 31, 2028",CONCEPT REVIEW,G,,,,,2752294.0,"Sasakawa Africa Association, Ethiopia",,,Moderate,,,,"May 28, 2025","The project's overarching objective is to enhance Agro-pastoralist (AP) communities' livelihoods and climate resilience in the target regions by promoting regenerative agriculture practices in crop and livestock production, strengthening the extension system, improving agribusiness skills, and creating new or better employment opportunities for youth, women, and marginalized groups along the agriculture and livestock value chains.The specific objectives include:Promote Sustainable Agricultural Practices by introducing regenerative farming techniques such as crop rotation, cover cropping, land management strategies, agroforestry, and crop-livestock integration. These practices aim to build soil fertility, reduce reliance on external inputs, improve biodiversity conservation, and enhance ecosystem resilience.Enhance Livelihoods, Household Nutrition, and Income by equipping Agro-pastoralists with the knowledge and skills needed to diversify their agricultural activities, reduce post-harvest losses, foster increased income opportunities through the incorporation of value-added products and alternative crops, and increase nutrition literacy.Empower Agro-pastoral Communities and enhance their capacity through skill development training and decision-making in regenerative farming, nutrition, marketing, and agribusiness.Transitioning to more regenerative agriculture practices enables Agro-pastoralist households to improve soil fertility and health, amplify agrobiodiversity, and produce diversified, nutritious food. This transition would allow them to increase agricultural productivity, improve diets, adapt to climate change, absorb and recover from shocks, and build sustainable climate resilience.The project will include three components: (1) Promoting regenerative agriculture; (2) Institutional and Human Capacity Building; and (3) Project Management, Monitoring & Evaluation, and Knowledge Management."
P509237,"Middle East, North Africa, Afghanistan, and Pakistan",Republic of Tunisia,,Support to Job Creation in the Agri-Food Sector and Rural Space,The Project development objective is to help restore and promote job creation in the agri-food sector in Tunisia.,Microfinanza SRL,,https://projects.worldbank.org/en/projects-operations/project-detail/P509237,"January 23, 2025","June 19, 2025",,"December 31, 2026",BANK APPROVED,G,,,,,4000000.0,Microfinanza SRL,,,Moderate,,,,"June 19, 2025","In 2019, the Government of Netherlands and the World Bank established the Tunisian Rural and Agricultural Chains of Employment Program (TRACE) to help respond to the job creation and small holder inclusion challenges in the agri-food sector and rural areas. TRACE is a hybrid Trust Fund (TF), financed by a Dutch contribution of US$23.1M, and will be implemented until the end of 2026. The program's development objective is to create jobs in the agri-food sector by strengthening the productivity and resilience of small- scale producers, and competitiveness of agribusiness cooperatives and SMEs in selected agri-food sub-sectors through better access to knowledge, innovations, and financial services. To stimulate job creation, TRACE acts on four dimensions: (i) addressing the mismatch between the supply and demand of skills in the agri-food sector; (ii) expanding the network and professionalism of producer organizations and agri-SMEs able to connect producers to market opportunities and required services; (iii) developing the range and quality of financial and non-financial services for farmers, agribusiness SMEs, and value chain stakeholders; and (iv) improving the business environment and policy framework to stimulate the growth of a market-oriented and private sector-driven agri-food sector. Activities under Dimensions 1, 3 and 4 are Bank-Executed TF (BETF) activities. Under Dimension 2, it is proposed to establish a fourth entrepreneurship support matching grant project to continue supporting Producer Organizations (POs) and small Small and Medium-sized Enterprises (SMEs) to develop their business and create more jobs through technical and financial assistance. This proposed project will be implemented by Microfinanza as a Recipient-Executed Trust Fund (RETF) project. The proposed RETF project will cover the four governorates in the North-West of Tunisia and capitalize on the activities previously undertaken by two other TRACE RETF projects (P174017 & P175641) in the same region. The proposed RETF project will be composed of three components:Component 1 - Technical assistance to POs and SMEsThe implementation of the entrepreneurship support project will require technical assistance (TA) to SMEs and POs for preparing and selecting technically sound and financially and commercially viable beneficiary sub-projects. Microfinanza – the implementing agency – will deliver this TA directly or through technical partners. The agency will disseminate information to potential POs and SMEs, with a special focus for youth and women entrepreneurs, to select candidates through both an open counter system and calls for proposals depending on the target. This dissemination will include facilitating the dialogue with relevant authorities, private sector associations, and other stakeholders to ensure that the investment sub-project submissions are consistent with the nature of the region and the opportunities and constraints of the sector. The Project will help POs and SMEs develop technically sound and commercially viable businesses through tailored TA. This TA will be delivered individually or in cohorts, based on the specific needs and maturity of the applicants’ sub-projects. The TA will ensure that investment sub-project proposals submitted to the Project have a strong potential to be profitable and sustainable, ensuring business growth and creating jobs, while also improving producers’ resilience and economic inclusion.To ensure the success of selected investment sub-projects, the implementing agency will also provide TA during implementation, either directly or by linking POs and SMEs with specialized technical and managerial expertise. The implementing agency will provide this second phase of TA directly and/or act as a facilitator to help POs and SMEs access additional support from public and private service providers and connect with larger business enterprises and agro-industries to receive advice in order to properly adjust to market requirements. The assistance will be provided individually to more developed POs and SMEs as a form of acceleration support, while less developed POs and SMEs will be grouped into cohorts to achieve economies of scale in the incubation of their initiatives. The overall objective of the technical assistance is to professionalize and expand businesses, increase bargaining power in value chains, improve financial and technical resources, and network to share experiences and best practices. Increasing the scale, productivity, and resilience of business activities will ensure sustainability of the jobs created and will generate additional jobs over time, while indirectly generating job creation for suppliers and clients of the POs and SMEs supported.Component 2 - Grants for agri-food and rural job creation The TRACE entrepreneurship support project will provide non-reimbursable financial contributions (matching grants) to investment sub-projects submitted by POs and SMEs engaged in agri-business activities with the overall objective to help business growth and job creation. For more developed candidates that receive acceleration support, matching grants will be capped to 30% of the cost of the proposed investments. Furthermore, this category of beneficiaries will be required to obtain credit from a bank, leasing company and/or supplier. The maximum grant size for acceleration beneficiaries will be 90,000 TND. For less developed candidates that receive incubation support, grants will be capped to 90% of the cost of the proposed investments. Obtaining credit will be encouraged, but it will not be a requirement for this category of beneficiaries. The maximum grant size for incubation beneficiaries will be 20,000 TND for SMEs and 70,000 TND for POs. For both categories of beneficiaries, the grants will finance small-scale equipment and inputs as well as soft activities (technical and managerial training and advice, marketing guidance and market intelligence, etc.).Eligible activities will cover the wide range of opportunities offered by the agri-food sector and agro-rural entrepreneurship. These activities can range from farming production and processing to agro-service providers (input and technology supplies, advisory services, etc.) and post-harvest operations (storage, processing, packing, etc.). Eligible investment initiatives also include the valorization of cultural and natural resources through handy crafts and rural tourism. Investment sub-projects will therefore be in, but not limited to, agro-industry, agro-food, apiculture, aromatic and medicinal plants, valorization of natural resources, and agro-tourism.Selection will prioritize investments with high job creation potential that are technically sound, commercially viable and environmentally and socially sustainable. Other factors to be considered include tangible scale, identified markets, and partnerships with other producers, private aggregators, agro-industries and other commercial entities. Selection will be done through an open counter system and competitive calls for proposals with differentiated criteria and financing thresholds depending on the type of beneficiary and the type of support (incubation or acceleration). Applicants will benefit from technical assistance delivered by the Project to improve the quality of proposals. SMEs and POs which have been successful in achieving 70% of the objective of their first investment projects and continue to have a high potential for job creation will be eligible for a second grant without going through the competitive selection process. The objective is to ensure impact sustainability and encourage successful SMEs and POs to continue creating jobs. A regional Technical Committee will be responsible of the selection of incubation proposals and monitoring of their implementation. It will include representatives from regional governmental entities, experts, and private sector representatives. The Technical Comm"
