"Methedology:
1. Open IDB website
2. Click on 'Projects'
3. Scroll down and click on 'Download Project Information (.xlsx)'
4. Apply following filters: 
            - Sector: AGRICULTURE AND RURAL DEVELOPMENT 
            - Approval date: 01/01/2015-12/31/2025
5. Click three buttons > Export data ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Keywords Found in Unnamed: 1,Keywords Found in Unnamed: 2,Keywords Found in Unnamed: 22,Keywords Found (Any Column)
HA-M1050,Scaling Up the Smallholder Alliance for Sorghum in Haiti (SMASH),"The project aims to improve the incomes of 18,000 small scale sorghum farmers by improving their capacity to supply high quality sorghum to the lead firm (Brasserie Nationale d'Haiti (BRANA) for the production of malted barley beverages. The project will also aim to improve climate resilience for the sorghum value chain.",Non-Sovereign Guaranteed,Technical Cooperation,4/29/15,10/21/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Haiti,EXITED,C,7815262,ATN/ME-15024-HA,,USD,MSE-Multilateral Investment Fund II (MIF) -,2020807,1764273.38,"Thursday, October 17, 2019",Not Defined,Yes,PAPYRUS S.A.,,,,['smallholder'],[],[],['smallholder']
AR-T1135,Priorities of Agricultural Development in Norte Grande,"This program is built on the basis of experience gained by the Unit for Rural Change (UCAR), Ministry of Agriculture, Livestock and Fisheries (MAGyP) in integrating various management tools in a territorial context, which improves the conditions of regional competitiveness, market access and better living conditions and food security, in line with the priorities of the food Fund IDB. This CT proposes to carry out priority studies for the formulation of an investment program to support agricultural development in the NG of Argentina.",Sovereign Guaranteed,Technical Cooperation,6/22/15,6/22/15,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina,EXITED,C,200000,ATN/OC-15002-AR,,USD,ORC-Ordinary Capital,200000,190412.77,"Tuesday, December 20, 2016",Not Defined,Yes,TC-BID OFICINA EN ARGENTINA,,,,[],"['livestock', 'market access']",[],"['livestock', 'market access']"
RG-M1269,"Sustainable Agriculture, Food and the Environment Platform","SAFE is a multi-stakeholder platform that will address the technical challenges for diversification, market access, climate adaptation and resilience in agriculture, especially among small and medium sized farmers.",Non-Sovereign Guaranteed,Technical Cooperation,7/29/15,1/20/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Bolivia; Brazil; Colombia; Costa Rica; Peru; Regional,EXITED,B13,3864100,ATN/ME-15082-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,2641500,2616500,"Thursday, November 19, 2020",Not Defined,No,INSTITUTO HUMANISTA PARA LA COOPERACIÓN CON LOS PAÍSES EN DESARROLLO,,,,[],['market access'],[],['market access']
RG-X1256,Sustainable intensification in Dairy,"1. Identify the research teams from the participating countries that are working on the development of this subject, and are interested in participating in the regional initiative.
 2. Identify key critical factors for sustainable intensification in dairy in the participating countries.
 3. Characterize the current state of the art in the subject in countries and others participating groups.
 4. Identification of potential partners and sources for funding FONTAGRO.
 5. Prepare the project draft on sustainable intensification of the dairy, with a potential plan of potential funders and a program schedule.",Sovereign Guaranteed,Technical Cooperation,7/31/15,7/31/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Bankwide; Regional,EXITED,,68555,FTG/RF-15069-RG,,USD,RFA-Regional Agricultural Fund,30000,30000,"Thursday, July 14, 2016",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['dairy'],['dairy'],[],['dairy']
RG-M1285,Blue Harvest: A New Sustainable Production Model for Small Holder Coffee Farmers,"The project seeks to promote water resource management with a focus on water-smart agricultural approaches as a high impact model of sustainable production in priority coffee producing zones in El Salvador, Honduras and Nicaragua.",Non-Sovereign Guaranteed,Technical Cooperation,8/5/15,2/2/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,El Salvador; Honduras; Nicaragua; Regional,EXITED,C,5558990,ATN/ME-15090-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,1240372,1147021,"Monday, November 04, 2019",Not Defined,Yes,CATHOLIC RELIEF SERVICES-UNITED STATES CATHOLIC CONFERENCE,,,,['smallholder'],[],[],['smallholder']
RG-X1275,Innovation Platform for Sustainability of family livestock systems in UR and AR,"The overall objective of the operation is to improve the sustainability of family farming systems in natural field. The purpose is to improve by 40% the physical - economic performance and coupling production, biodiversity and sustainability of family farmers in Uruguay and Argentina.",Sovereign Guaranteed,Technical Cooperation,12/11/15,3/11/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Regional; Uruguay,EXITED,,1038992,FTG/RF-15461-RG,,USD,RFA-Regional Agricultural Fund,397292,374040.43,"Friday, March 06, 2020",Not Defined,Yes,INSTITUTO NACIONAL DE INVESTIGACION AGROPECUARIA,,,,['livestock'],[],[],['livestock']
HA-L1097,Natural Disaster Mitigation Program II,he project objective is to reduce rural economic losses through the improvement of climate risk management in selected watersheds. The specific objectives are to: (i) increase capacities for adaptation to climate change and disaster risk management (DRM) in the agriculture sector; (ii) improve water and sediment conservation in selected gullies of priority watersheds; (iii) reduce the risk of rural economic losses due to floods in targeted watersheds; and (iv) restore the educational capacity of the Faculty of Agronomy and Veterinary Medicine (FAMV) campus.,Sovereign Guaranteed,Grant Financing Product,12/14/15,2/1/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Haiti,ACTIVE,B,42750000,3622/GR-HA,ESP,USD,GRF-IDB Grant Facility Account,42000000,41930249.29,"Friday, April 11, 2025",REPUBLIQUE D'HAITI,Yes,MINISTERE DE L AGRICULTURE DES RESOURCES NATURELLES ET DU DEVELOPPEMENT RURAL,,,,[],['veterinary'],[],['veterinary']
BO-X1014,ECOMICRO2 - EcoMicro Project Fundacion Sembrar Sartawi,The objective will be the design of a micro-insurance product for small holder farmers in Bolivia to maintain their income.,Non-Sovereign Guaranteed,Technical Cooperation,12/16/15,5/17/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Bolivia,EXITED,,430460,ATN/NV-15419-BO,,USD,NDV-Nordic Development Fund,279085,266109.8,"Wednesday, March 20, 2019",Not Defined,Yes,SEMBRAR SARTAWI INSTITUCIÓN FINANCIERA DE DESARROLLO,,,,[],['smallholder'],[],['smallholder']
RG-T2797,Climate technology transfer mechanisms and networks in Latin America and the Caribbean,"The objective of the project is to promote the development and transfer of Environmentally Sound Technologies (EST) in Latin America and the Caribbean (LAC), in order to contribute to the ultimate goal of reducing Greenhouse Gas (GHG) emissions and reducing the vulnerability to climate change in specific sectors in LAC.",Sovereign Guaranteed,Technical Cooperation,5/4/16,5/4/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Bolivia; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; Headquarters; Honduras; Nicaragua; Panama; Paraguay; Peru; Regional; Uruguay; Venezuela,EXITED,,250000,FTG/RF-15564-RG,,USD,RFA-Regional Agricultural Fund,250000,243741.3,"Tuesday, November 19, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['greenhouse gas'],[],['greenhouse gas']
RG-T2808,"FONTAGRO’s 2016 Photo Contest: “In a New Light: Family Farming in Latin America, the Caribbean, and Spain”","FONTAGRO's 2016 Photo Contest ""In a New Light: Family Farming in Latin America, the Caribbean, and Spain"" (the ""Contest"") begun on February 18, 2016, and ended on March 31, 2016, at 12:00 PM United States Eastern Time. The categories were:
 1- People: small farmers and their families (including faces, half body or full body, etc.)
 2 - Places: photographs that showcase breathtaking agricultural landscapes in Latin America, the Caribbean, and Spain.
 3- Agriculture in Action: including cattle, crops, plantations, agricultural activities (such as planting, production, and harvesting), processing, marketing, markets, use of technology, etc.
 4- FONTAGRO Projects:1 photographs that showcase FONTAGRO projects that have been completed or are in the implementation phase, or that highlight areas of impact of said projects.
 The winner in each category will receive a $1,000 cash prize. Winning photographs will be part of the permanent photo gallery that can be showcased in FONTAGRO's website and websites of authorized parties, as well as in FONTAGRO's printed materials. Photographs that are chosen as finalists will also be part of an ad hoc publication.",Sovereign Guaranteed,Technical Cooperation,5/4/16,5/4/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,Argentina; Bolivia; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; Headquarters; Honduras; Nicaragua; Panama; Paraguay; Peru; Regional; Uruguay; Venezuela,EXITED,,7000,FTG/RF-15562-RG,,USD,RFA-Regional Agricultural Fund,7000,6999.25,"Friday, December 09, 2016",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],"['cattle', 'processing']",[],"['cattle', 'processing']"
PE-L1188,Amazonian energy: building climate resilience through the diversification of agroforestry systems with smallholder producers of Guayusa,The expected impact of the project is to contribute to increase the productive assets and future incomes of smallholder farmers and rural employment in the San Martín region through the establishment of a new value chain based on guayusa. The expected result is to develop the first value chain for the production and processing of guayusa in Peru.,Non-Sovereign Guaranteed,Loan Operation,6/28/16,10/3/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Peru,EXITED,,1600000,SP/OC-16-21-PE,,USD,ORC-Ordinary Capital,1000000,0,"Thursday, March 02, 2017",RUNA LLC,No,RUNA LLC,,,,['smallholder'],"['processing', 'smallholder']",[],"['processing', 'smallholder']"
PE-S1013,Amazonian energy: building climate resilience through the diversification of agroforestry systems with smallholder producers of Guayusa,The expected impact of the project is to contribute to increase the productive assets and future incomes of smallholder farmers and rural employment in the San Martín region through the establishment of a new value chain based on guayusa. The expected result is to develop the first value chain for the production and processing of guayusa in Peru.,Non-Sovereign Guaranteed,Technical Cooperation,6/28/16,8/24/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Peru,EXITED,,375000,ATN/OC-15610-PE,,USD,ORC-Ordinary Capital,250000,53156.08,"Wednesday, January 10, 2018",RUNA LLC,No,RUNA FOUNDATION PERU,,,,['smallholder'],"['processing', 'smallholder']",[],"['processing', 'smallholder']"
GU-M1059,Competitiveness and Financing of Coffee Growing in Guatemala,"The solution raised by the project is creating coordination between strategically positioned partners at public and private sector to set a new paradigm in the industry competence model of coffee sector in Guatemala. 
 The project will allow strengthening four partners. ANACAFE having strong technical and market access capabilities. Federation of Financial Coops. MiCoope whom owns strong expertise. Columna Insurer providing Ag. insurances. GuateInvierte a public partial guarantee fund that will be strengthen to improve their methods and service. By joining capabilities and services of the partners, the project aims to structure and manage risk of coffee sector in an integral way. De-risking will allow unlock finance, needed to access improved sustainable / climate resilient technologies, and new markets.",Non-Sovereign Guaranteed,Technical Cooperation,10/12/16,11/18/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Guatemala,EXITED,C,12320972,ATN/ME-15785-GU,,USD,MSE-Multilateral Investment Fund II (MIF) -,1969499,1969499,"Thursday, December 05, 2019",Not Defined,No,Asociacion Nacional del Café,,,,[],['market access'],[],['market access']
GY-L1060,Sustainable Agricultural Development Program,"Increase productivity of the agricultural sector while maintaining a sustainable
 and climate resilient use of natural resources in Guyana. The specific objectives are: (i) produce high quality data
 for the agricultural sector; (ii) increase productivity, especially for medium and small farmers; and (iii) increase
 sanitary and phytosanitary (SPS) standards and access to meat processing facilities. Higher productivity will also
 contribute to reduce pressure on forest and fragile ecosystems, and at the same time, increase income for small
 and medium-sized farmers.",Sovereign Guaranteed,Loan Operation,11/16/16,2/21/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Guyana,ACTIVE,B,15000000,3798/BL-GY,ESP,USD,ORC-Ordinary Capital,15000000,15000000,"Friday, February 14, 2025",COOPERATIVE REPUBLIC OF GUYANA,Yes,MINISTRY OF AGRICULTURE (HYDRAUL.DEPT),0.250000000000000; 1.310000000000000; 5.351000000000000; 5.569915000000000,2057-02-15; 2047-02-15; 2047-02-15; 2047-02-15,486.80000000000001; 365; 365; 365,[],"['meat', 'processing']",[],"['meat', 'processing']"
NI-L1141,Climate Resilience and High-value Fruit Exports in Nicaragua,"The MIF will support the growth and consolidation of an eco-efficient agro-industrial processing model for tropical fruits that will be used for the production of specialized organic products. The project will link about 1,250 smallholder producers (800 new producers) to BASA's provider network. The model represents a sustainable income-generating market option that will improve the productivity and resilience of the participating smallholder producers",Non-Sovereign Guaranteed,Loan Operation,11/30/16,2/9/18,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Nicaragua,EXITED,C,3348728,3828/MS-NI,,USD,MSF-MIF-Small Enterprise Investment Fund,1000000,0,"Wednesday, November 30, 2016","BURKE-AGRO DE NICARAGUA,SA",Yes,"BURKE-AGRO DE NICARAGUA,SA",,,,[],"['processing', 'smallholder']",[],"['processing', 'smallholder']"
